sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
0.0,0,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.001,1,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.002,2,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.003,3,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.004,4,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.005,5,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.006,6,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.007,7,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.008,8,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.009,9,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.01,10,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.011,11,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.012,12,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.013,13,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.014,14,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.015,15,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.016,16,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.017,17,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.018,18,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.019,19,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.02,20,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.021,21,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.022,22,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.023,23,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.025,24,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.026,25,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.027,26,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.028,27,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.029,28,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.03,29,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.031,30,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.032,31,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.033,32,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.034,33,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.035,34,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.036,35,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.037,36,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.038,37,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.039,38,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.04,39,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.041,40,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.042,41,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.043,42,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.044,43,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.045,44,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.046,45,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.047,46,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.048,47,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.05,48,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
