,sec,msg_type,channel,note,velocity,new_octave,dynamic,accent,count,main_vol,depth,pedal,pan
0,0.0,[],[],[],[],[],ppp,0,0,100,0,0,0
1,0.1,"['note_on', 'note_on']","[0, 0]","[60, 60]","[21, 21]",[4],ppp,0,2,0,0,0,0
2,0.2,[],[],[],[],[4],,0,0,0,0,0,0
3,0.3,"['note_on', 'note_on']","[0, 0]","[64, 64]","[32, 32]",[4],ppp,0,2,0,0,0,0
4,0.4,[],[],[],[],[4],,0,0,0,0,0,0
5,0.5,"['note_on', 'note_on']","[0, 0]","[67, 67]","[34, 34]",[4],ppp,0,2,0,0,0,0
6,0.6,[],[],[],[],[4],,0,0,0,0,0,0
7,0.7,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[72, 72, 67, 67]","[34, 34, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
8,0.8,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
9,0.9,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[46, 46, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
10,1.0,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
11,1.1,"['note_on', 'note_on']","[0, 0]","[67, 67]","[38, 38]","[4, 5]",pp,0,2,0,0,0,0
12,1.2,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 76, 76]","[0, 0, 0, 0]",[4],ppp,0,4,0,0,0,0
13,1.3,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[72, 72, 64, 64, 67, 67]","[36, 36, 0, 0, 0, 0]",[5],ppp,0,6,0,0,0,0
14,1.4,[],[],[],[],[5],,0,0,0,0,0,0
15,1.5,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[46, 46, 0, 0]",[5],ppp,0,4,0,0,0,0
16,1.6,[],[],[],[],[5],,0,0,0,0,0,0
17,1.7,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 76, 76]","[35, 35, 0, 0]",[4],ppp,0,4,0,0,"[126, 126, 106, 106]",0
18,1.8,[],[],[],[],[4],ppp,0,0,0,0,"[80, 80, 18, 18, 0, 0]",0
19,1.9,"['note_on', 'note_on']","[0, 0]","[64, 64]","[31, 31]",[4],ppp,0,2,0,0,0,0
20,2.0,[],[],[],[],[4],ppp,0,0,0,0,"[4, 4, 8, 8]",0
21,2.1,"['note_on', 'note_on']","[0, 0]","[67, 67]","[42, 42]",[4],pp,0,2,0,0,"[6, 6, 0, 0]",0
22,2.2,[],[],[],[],[4],,0,0,0,0,0,0
23,2.3,[],[],[],[],[4],,0,0,0,0,0,0
24,2.4,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[72, 72, 67, 67]","[40, 40, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
25,2.5,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
26,2.6,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[53, 53, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
27,2.7,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
28,2.8,"['note_on', 'note_on']","[0, 0]","[67, 67]","[38, 38]","[4, 5]",pp,0,2,0,0,0,0
29,2.9,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",[4],ppp,0,2,0,0,0,0
30,3.0,"['note_on', 'note_on']","[0, 0]","[72, 72]","[42, 42]","[4, 5]",pp,0,2,0,0,0,0
31,3.1,"['note_off', 'note_off', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[67, 67, 60, 60, 64, 64]","[0, 0, 0, 0, 0, 0]",[5],ppp,0,6,0,0,0,0
32,3.2,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[55, 55, 0, 0]",[5],ppp,0,4,0,0,0,0
33,3.3,[],[],[],[],[5],,0,0,0,0,0,0
34,3.4,"['note_on', 'note_on']","[0, 0]","[60, 60]","[40, 40]","[4, 5]",pp,0,2,0,0,0,0
35,3.5,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",[4],ppp,0,2,0,0,0,0
36,3.6,"['note_on', 'note_on']","[0, 0]","[62, 62]","[40, 40]",[4],pp,0,2,0,0,0,0
37,3.7,[],[],[],[],[4],,0,0,0,0,0,0
38,3.8,"['note_on', 'note_on']","[0, 0]","[69, 69]","[53, 53]",[4],p,0,2,0,0,0,0
39,3.9,[],[],[],[],[4],,0,0,0,0,0,0
40,4.0,"['note_on', 'note_on']","[0, 0]","[74, 74]","[51, 51]","[4, 5]",p,0,2,0,0,0,0
41,4.1,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]","[4, 5]",ppp,0,2,0,0,0,0
42,4.2,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
43,4.3,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[77, 77, 74, 74]","[53, 53, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
44,4.4,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
45,4.5,"['note_on', 'note_on']","[0, 0]","[69, 69]","[51, 51]","[4, 5]",p,0,2,0,0,0,0
46,4.6,"['note_off', 'note_off']","[0, 0]","[77, 77]","[0, 0]",[4],ppp,0,2,0,0,0,0
47,4.7,"['note_on', 'note_on']","[0, 0]","[74, 74]","[44, 44]","[4, 5]",pp,0,2,0,0,0,0
48,4.8,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]","[4, 5]",ppp,0,2,0,0,0,0
49,4.9,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0]","[77, 77, 60, 60, 74]","[48, 48, 0, 0, 0]","[4, 5]",ppp,0,5,0,0,0,0
50,5.0,"['note_off', 'note_off', 'note_off']","[0, 0, 0]","[74, 62, 62]","[0, 0, 0]",[5],ppp,0,3,0,0,0,0
51,5.1,"['note_on', 'note_on']","[0, 0]","[60, 60]","[46, 46]","[4, 5]",pp,0,2,0,0,0,0
52,5.2,"['note_off', 'note_off']","[0, 0]","[77, 77]","[0, 0]",[4],ppp,0,2,0,0,0,0
53,5.3,[],[],[],[],[4],,0,0,0,0,0,0
54,5.4,"['note_on', 'note_on']","[0, 0]","[62, 62]","[36, 36]",[4],pp,0,2,0,0,0,0
55,5.5,[],[],[],[],[4],,0,0,0,0,0,0
56,5.6,"['note_on', 'note_on']","[0, 0]","[69, 69]","[51, 51]",[4],p,0,2,0,0,0,0
57,5.7,[],[],[],[],[4],,0,0,0,0,0,0
58,5.8,"['note_on', 'note_on']","[0, 0]","[74, 74]","[42, 42]","[4, 5]",pp,0,2,0,0,0,0
59,5.9,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]","[4, 5]",ppp,0,2,0,0,0,0
60,6.0,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[77, 77, 74, 74]","[53, 53, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
61,6.1,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
62,6.2,"['note_on', 'note_on']","[0, 0]","[69, 69]","[34, 34]","[4, 5]",ppp,0,2,0,0,0,0
63,6.3,"['note_off', 'note_off']","[0, 0]","[77, 77]","[0, 0]",[4],ppp,0,2,0,0,0,0
64,6.4,[],[],[],[],[4],,0,0,0,0,0,0
65,6.5,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[74, 74, 69, 69]","[46, 46, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
66,6.6,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
67,6.7,"['note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0, 0, 0]","[60, 60, 77, 77, 74, 74, 62, 62]","[0, 0, 40, 40, 0, 0, 0, 0]",[5],ppp,0,8,0,0,0,0
68,6.8,[],[],[],[],[5],,0,0,0,0,0,0
69,6.9,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[59, 59, 77, 77]","[27, 27, 0, 0]",[3],ppp,0,4,0,0,0,0
70,7.0,[],[],[],[],[3],,0,0,0,0,0,0
71,7.1,"['note_on', 'note_on']","[0, 0]","[62, 62]","[32, 32]","[3, 4]",ppp,0,2,0,0,0,0
72,7.2,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
73,7.3,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
74,7.4,"['note_on', 'note_on']","[0, 0]","[67, 67]","[51, 51]","[3, 4]",p,0,2,0,0,0,0
75,7.5,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
76,7.6,"['note_on', 'note_on']","[0, 0]","[74, 74]","[46, 46]","[3, 4, 5]",pp,0,2,0,0,0,0
77,7.7,"['note_off', 'note_off']","[0, 0]","[67, 67]","[0, 0]","[3, 4, 5]",ppp,0,2,0,0,0,0
78,7.8,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[77, 77, 74, 74]","[51, 51, 0, 0]","[3, 4, 5]",ppp,0,4,0,0,0,0
79,7.9,[],[],[],[],"[3, 4, 5]",,0,0,0,0,0,0
80,8.0,"['note_on', 'note_on']","[0, 0]","[67, 67]","[40, 40]","[3, 4, 5]",pp,0,2,0,0,0,0
81,8.1,"['note_off', 'note_off']","[0, 0]","[77, 77]","[0, 0]","[3, 4]",ppp,0,2,0,0,0,0
82,8.2,"['note_on', 'note_on']","[0, 0]","[74, 74]","[40, 40]","[3, 4, 5]",pp,0,2,0,0,0,0
83,8.3,"['note_off', 'note_off']","[0, 0]","[67, 67]","[0, 0]","[3, 4, 5]",ppp,0,2,0,0,0,0
84,8.4,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0, 0, 0]","[59, 59, 62, 62, 77, 77, 74, 74]","[0, 0, 0, 0, 46, 46, 0, 0]",[5],ppp,0,8,0,0,0,0
85,8.5,[],[],[],[],[5],,0,0,0,0,0,0
86,8.6,"['note_on', 'note_on']","[0, 0]","[59, 59]","[46, 46]","[3, 5]",pp,0,2,0,0,0,0
87,8.7,"['note_off', 'note_off']","[0, 0]","[77, 77]","[0, 0]",[3],ppp,0,2,0,0,0,0
88,8.8,"['note_on', 'note_on']","[0, 0]","[62, 62]","[36, 36]","[3, 4]",pp,0,2,0,0,0,0
89,8.9,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
90,9.0,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
91,9.1,"['note_on', 'note_on']","[0, 0]","[67, 67]","[51, 51]","[3, 4]",p,0,2,0,0,0,0
92,9.2,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
93,9.3,"['note_on', 'note_on']","[0, 0]","[74, 74]","[42, 42]","[3, 4, 5]",pp,0,2,0,0,0,0
94,9.4,"['note_off', 'note_off']","[0, 0]","[67, 67]","[0, 0]","[3, 4, 5]",ppp,0,2,0,0,0,0
95,9.5,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[77, 77, 74, 74]","[46, 46, 0, 0]","[3, 4, 5]",ppp,0,4,0,0,0,0
96,9.6,[],[],[],[],"[3, 4, 5]",,0,0,0,0,0,0
97,9.7,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[67, 67, 77, 77]","[46, 46, 0, 0]","[3, 4]",ppp,0,4,0,0,0,0
98,9.8,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
99,9.9,"['note_on', 'note_on']","[0, 0]","[74, 74]","[42, 42]","[3, 4, 5]",pp,0,2,0,0,0,0
100,10.0,"['note_off', 'note_off']","[0, 0]","[67, 67]","[0, 0]","[3, 4, 5]",ppp,0,2,0,0,0,0
101,10.1,"['note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[59, 59, 77, 77, 62, 62]","[0, 0, 44, 44, 0, 0]",[5],ppp,0,6,0,0,0,0
102,10.2,"['note_off', 'note_off']","[0, 0]","[74, 74]","[0, 0]",[5],ppp,0,2,0,0,0,0
103,10.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 77, 60, 60]","[0, 0, 40, 40]",[4],ppp,0,4,0,0,0,0
104,10.4,[],[],[],[],[4],,0,0,0,0,0,0
105,10.5,[],[],[],[],[4],,0,0,0,0,0,0
106,10.6,"['note_on', 'note_on']","[0, 0]","[64, 64]","[36, 36]",[4],pp,0,2,0,0,0,0
107,10.7,[],[],[],[],[4],,0,0,0,0,0,0
108,10.8,"['note_on', 'note_on']","[0, 0]","[67, 67]","[35, 35]",[4],ppp,0,2,0,0,0,0
109,10.9,[],[],[],[],[4],,0,0,0,0,0,0
110,11.0,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[72, 72, 67, 67]","[40, 40, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
111,11.1,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
112,11.2,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[46, 46, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
113,11.3,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
114,11.4,"['note_on', 'note_on']","[0, 0]","[67, 67]","[46, 46]","[4, 5]",pp,0,2,0,0,0,0
115,11.5,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",[4],ppp,0,2,0,0,0,0
116,11.6,"['note_on', 'note_on']","[0, 0]","[72, 72]","[38, 38]","[4, 5]",pp,0,2,0,0,0,0
117,11.7,"['note_off', 'note_off']","[0, 0]","[67, 67]","[0, 0]","[4, 5]",ppp,0,2,0,0,0,0
118,11.8,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[60, 60, 64, 64, 76, 76]","[0, 0, 0, 0, 44, 44]",[5],ppp,0,6,0,0,0,0
119,11.9,"['note_off', 'note_off']","[0, 0]","[72, 72]","[0, 0]",[5],ppp,0,2,0,0,0,0
120,12.0,"['note_on', 'note_on']","[0, 0]","[60, 60]","[42, 42]","[4, 5]",pp,0,2,0,0,0,0
121,12.1,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",[4],ppp,0,2,0,0,0,0
122,12.2,[],[],[],[],[4],,0,0,0,0,0,0
123,12.3,"['note_on', 'note_on']","[0, 0]","[64, 64]","[27, 27]",[4],ppp,0,2,0,0,0,0
124,12.4,[],[],[],[],[4],,0,0,0,0,0,0
125,12.5,"['note_on', 'note_on']","[0, 0]","[67, 67]","[44, 44]",[4],pp,0,2,0,0,0,0
126,12.6,[],[],[],[],[4],,0,0,0,0,0,0
127,12.7,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[72, 72, 67, 67]","[40, 40, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
128,12.8,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
129,12.9,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[46, 46, 0, 0]","[4, 5]",ppp,0,4,0,0,0,0
130,13.0,[],[],[],[],"[4, 5]",,0,0,0,0,0,0
