sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[61],p,0,1,"[100, 100, 100]","[127, 127]",127,"[64, 64]"
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 60]",mp,0,2,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 63]",mp,0,2,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,"['note_off', 'note_on']","[0, 0]","[76, 67]","[64, 50]",p,0,2,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 47]",p,0,2,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 47]",p,0,2,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[60, 64, 76, 60]","[64, 64, 64, 62]",mp,0,4,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 60]",mp,0,2,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 62]",mp,0,2,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,"['note_off', 'note_on']","[0, 0]","[76, 67]","[64, 50]",p,0,2,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 48]",p,0,2,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 48]",p,0,2,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[60, 64, 76, 60]","[64, 64, 64, 65]",mp,0,4,0,"[127, 127]",0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,['note_on'],[0],[62],[60],p,0,1,0,0,127,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_off', 'note_on']","[0, 0]","[69, 74]","[64, 60]",mp,0,2,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 65]",mp,0,2,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_off', 'note_on']","[0, 0]","[77, 69]","[64, 51]",p,0,2,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,"['note_off', 'note_on']","[0, 0]","[69, 74]","[64, 50]",p,0,2,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 50]",p,0,2,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[60, 62, 77, 60]","[64, 64, 64, 65]",mp,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[58],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_off', 'note_on']","[0, 0]","[69, 74]","[64, 60]",mp,0,2,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 65]",mp,0,2,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_off'],[0],[77],[64],mp,0,1,0,0,0,0
6.3,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_off', 'note_on']","[0, 0]","[69, 74]","[64, 50]",p,0,2,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 50]",p,0,2,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[60, 62, 77, 59]","[64, 64, 64, 65]",mp,0,4,0,"[127, 127]",0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[62],[60],p,0,1,0,0,127,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_off', 'note_on']","[0, 0]","[67, 74]","[64, 60]",mp,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 65]",mp,0,2,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,"['note_off', 'note_on']","[0, 0]","[77, 67]","[64, 51]",p,0,2,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_off', 'note_on']","[0, 0]","[67, 74]","[64, 50]",p,0,2,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 50]",p,0,2,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[59, 62, 77, 59]","[64, 64, 64, 65]",mp,0,4,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,"['note_off', 'note_on']","[0, 0]","[67, 74]","[64, 60]",mp,0,2,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 65]",mp,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,"['note_off', 'note_on']","[0, 0]","[77, 67]","[64, 52]",p,0,2,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,"['note_off', 'note_on']","[0, 0]","[67, 74]","[64, 50]",p,0,2,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_off', 'note_on']","[0, 0]","[74, 77]","[64, 50]",p,0,2,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[59, 62, 77, 60]","[64, 64, 64, 61]",mp,0,4,0,"[127, 127]",0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,['note_on'],[0],[64],[57],p,0,1,0,0,127,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 55]",p,0,2,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 60]",mp,0,2,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,"['note_off', 'note_on']","[0, 0]","[76, 67]","[64, 50]",p,0,2,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 47]",p,0,2,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 47]",p,0,2,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[60, 64, 76, 60]","[64, 64, 64, 62]",mp,0,4,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 57]",p,0,2,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 61]",mp,0,2,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,"['note_off', 'note_on']","[0, 0]","[76, 67]","[64, 50]",p,0,2,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,"['note_off', 'note_on']","[0, 0]","[67, 72]","[64, 48]",p,0,2,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,"['note_off', 'note_on']","[0, 0]","[72, 76]","[64, 48]",p,0,2,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,"['note_off', 'note_off', 'note_off', 'note_on']","[0, 0, 0, 0]","[60, 64, 76, 60]","[64, 64, 64, 67]",mp,0,4,0,"[127, 127]",0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,['note_on'],[0],[64],[62],mp,0,1,0,0,127,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,['note_on'],[0],[69],[61],p,0,1,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,"['note_off', 'note_on']","[0, 0]","[69, 76]","[64, 66]",mp,0,2,0,0,0,0
