sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],ppp,0,0,100,0,0,0
0.1,"['note_on', 'note_on']","[0, 0]","[60, 60]","[21, 21]",ppp,0,2,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,"['note_on', 'note_on']","[0, 0]","[64, 64]","[32, 32]",ppp,0,2,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on']","[0, 0]","[67, 67]","[34, 34]",ppp,0,2,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[72, 72, 67, 67]","[34, 34, 0, 0]",ppp,0,4,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[46, 46, 0, 0]",ppp,0,4,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on']","[0, 0]","[67, 67]","[38, 38]",pp,0,2,0,0,0,0
1.2,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 76, 76]","[0, 0, 0, 0]",ppp,0,4,0,0,0,0
1.3,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[72, 72, 64, 64, 67, 67]","[36, 36, 0, 0, 0, 0]",ppp,0,6,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[46, 46, 0, 0]",ppp,0,4,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 76, 76]","[35, 35, 0, 0]",ppp,0,4,0,0,"[126, 126, 106, 106]",0
1.8,[],[],[],[],ppp,0,0,0,0,"[80, 80, 18, 18, 0, 0]",0
1.9,"['note_on', 'note_on']","[0, 0]","[64, 64]","[31, 31]",ppp,0,2,0,0,0,0
2.0,[],[],[],[],ppp,0,0,0,0,"[4, 4, 8, 8]",0
2.1,"['note_on', 'note_on']","[0, 0]","[67, 67]","[42, 42]",pp,0,2,0,0,"[6, 6, 0, 0]",0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[72, 72, 67, 67]","[40, 40, 0, 0]",ppp,0,4,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[53, 53, 0, 0]",ppp,0,4,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,"['note_on', 'note_on']","[0, 0]","[67, 67]","[38, 38]",pp,0,2,0,0,0,0
2.9,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0
3.0,"['note_on', 'note_on']","[0, 0]","[72, 72]","[42, 42]",pp,0,2,0,0,0,0
3.1,"['note_off', 'note_off', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[67, 67, 60, 60, 64, 64]","[0, 0, 0, 0, 0, 0]",ppp,0,6,0,0,0,0
3.2,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[76, 76, 72, 72]","[55, 55, 0, 0]",ppp,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,"['note_on', 'note_on']","[0, 0]","[60, 60]","[40, 40]",pp,0,2,0,0,0,0
3.5,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0
3.6,"['note_on', 'note_on']","[0, 0]","[62, 62]","[40, 40]",pp,0,2,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on']","[0, 0]","[69, 69]","[53, 53]",p,0,2,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on']","[0, 0]","[74, 74]","[51, 51]",p,0,2,0,0,0,0
4.1,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
