sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],ppp,0,0,0,0,0,0
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[80, 80, 61, 61]","[36, 36, 17, 17]",ppp,0,4,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_off', 'note_off']","[0, 0]","[61, 61]","[0, 0]",ppp,0,2,0,0,0,0
0.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 81, 66, 66]","[53, 53, 36, 36]",pp,0,4,0,0,0,0
1.0,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[80, 80, 66, 66]","[0, 0, 0, 0]",ppp,0,4,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0
1.4,"['note_on', 'note_on']","[0, 0]","[80, 80]","[58, 58]",p,0,2,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[50, 50, 81, 81]","[38, 38, 59, 59]",pp,0,4,0,0,"[120, 120, 114, 114, 110, 110, 108, 108, 112, 112, 116, 116, 120, 120, 124, 124]",0
2.0,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,"[127, 127]",0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0, 0, 0]","[50, 50, 81, 81, 76, 76, 57, 57]","[0, 0, 0, 0, 51, 51, 31, 31]",ppp,0,8,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on']","[0, 0]","[62, 62]","[36, 36]",pp,0,2,0,0,0,0
