pitch_accuracy,dynamic_similarity,dynamic_change_consistency,accent_accuracy,octave_similarity,pedal_consistency
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
45,64,66,22.4,45.1,10
