,msg_note,msg_velocity,tick,msg_channel,count,msg_type
0,[68],[64],360,[0],1,['note_on']
1,[68],[64],360,[0],1,['note_on']
2,[68],[64],360,[0],1,['note_on']
3,[68],[64],360,[0],1,['note_on']
4,[68],[64],360,[0],1,['note_on']
5,[68],[64],360,[0],1,['note_on']
6,[68],[64],360,[0],1,['note_on']
7,[68],[64],360,[0],1,['note_on']
8,[68],[64],360,[0],1,['note_on']
9,[68],[64],360,[0],1,['note_on']
10,[68],[64],360,[0],1,['note_on']
11,[68],[64],360,[0],1,['note_on']
12,[68],[64],360,[0],1,['note_on']
13,[68],[64],360,[0],1,['note_on']
14,[68],[64],360,[0],1,['note_on']
15,[68],[64],360,[0],1,['note_on']
16,[68],[64],360,[0],1,['note_on']
17,[68],[64],360,[0],1,['note_on']
18,[68],[64],360,[0],1,['note_on']
19,[68],[64],360,[0],1,['note_on']
20,[68],[64],360,[0],1,['note_on']
21,[68],[64],360,[0],1,['note_on']
22,[68],[64],360,[0],1,['note_on']
23,[68],[64],360,[0],1,['note_on']
24,[68],[64],360,[0],1,['note_on']
25,[68],[64],360,[0],1,['note_on']
26,[68],[64],360,[0],1,['note_on']
27,[68],[64],360,[0],1,['note_on']
28,[68],[64],360,[0],1,['note_on']
29,[68],[64],360,[0],1,['note_on']
30,[68],[64],360,[0],1,['note_on']
31,[68],[64],360,[0],1,['note_on']
32,[68],[64],360,[0],1,['note_on']
33,[68],[64],360,[0],1,['note_on']
34,[68],[64],360,[0],1,['note_on']
35,[68],[64],360,[0],1,['note_on']
36,[68],[64],360,[0],1,['note_on']
37,[68],[64],360,[0],1,['note_on']
38,[68],[64],360,[0],1,['note_on']
39,[68],[64],360,[0],1,['note_on']
40,[68],[64],360,[0],1,['note_on']
41,[68],[64],360,[0],1,['note_on']
42,[68],[64],360,[0],1,['note_on']
43,[68],[64],360,[0],1,['note_on']
44,[68],[64],360,[0],1,['note_on']
45,[68],[64],360,[0],1,['note_on']
46,[68],[64],360,[0],1,['note_on']
47,[68],[64],360,[0],1,['note_on']
48,[68],[64],360,[0],1,['note_on']
49,[68],[64],360,[0],1,['note_on']
50,[68],[64],360,[0],1,['note_on']
51,[68],[64],360,[0],1,['note_on']
52,[68],[64],360,[0],1,['note_on']
53,[68],[64],360,[0],1,['note_on']
54,[68],[64],360,[0],1,['note_on']
55,[68],[64],360,[0],1,['note_on']
56,[68],[64],360,[0],1,['note_on']
57,[68],[64],360,[0],1,['note_on']
58,[68],[64],360,[0],1,['note_on']
59,[68],[64],360,[0],1,['note_on']
60,[68],[64],360,[0],1,['note_on']
61,[68],[64],360,[0],1,['note_on']
62,[68],[64],360,[0],1,['note_on']
63,[68],[64],360,[0],1,['note_on']
64,[68],[64],360,[0],1,['note_on']
65,[68],[64],360,[0],1,['note_on']
66,[68],[64],360,[0],1,['note_on']
67,[68],[64],360,[0],1,['note_on']
68,[68],[64],360,[0],1,['note_on']
69,[68],[64],360,[0],1,['note_on']
70,[68],[64],360,[0],1,['note_on']
71,[68],[64],360,[0],1,['note_on']
72,[68],[64],360,[0],1,['note_on']
73,[68],[64],360,[0],1,['note_on']
74,[68],[64],360,[0],1,['note_on']
75,[68],[64],360,[0],1,['note_on']
76,[68],[64],360,[0],1,['note_on']
77,[68],[64],360,[0],1,['note_on']
78,[68],[64],360,[0],1,['note_on']
79,[68],[64],360,[0],1,['note_on']
80,[68],[64],360,[0],1,['note_on']
81,[68],[64],360,[0],1,['note_on']
82,[68],[64],360,[0],1,['note_on']
83,[68],[64],360,[0],1,['note_on']
84,[68],[64],360,[0],1,['note_on']
85,[68],[64],360,[0],1,['note_on']
86,[68],[64],360,[0],1,['note_on']
87,[68],[64],360,[0],1,['note_on']
88,[68],[64],360,[0],1,['note_on']
89,[68],[64],360,[0],1,['note_on']
90,[68],[64],360,[0],1,['note_on']
91,[68],[64],360,[0],1,['note_on']
92,[68],[64],360,[0],1,['note_on']
93,[68],[64],360,[0],1,['note_on']
94,[68],[64],360,[0],1,['note_on']
95,[68],[64],360,[0],1,['note_on']
96,[68],[64],360,[0],1,['note_on']
97,[68],[64],360,[0],1,['note_on']
98,[68],[64],360,[0],1,['note_on']
99,[68],[64],360,[0],1,['note_on']
100,[68],[64],360,[0],1,['note_on']
101,[68],[64],360,[0],1,['note_on']
102,[68],[64],360,[0],1,['note_on']
103,[68],[64],360,[0],1,['note_on']
104,[68],[64],360,[0],1,['note_on']
105,[68],[64],360,[0],1,['note_on']
106,[68],[64],360,[0],1,['note_on']
107,[68],[64],360,[0],1,['note_on']
108,[68],[64],360,[0],1,['note_on']
109,[68],[64],360,[0],1,['note_on']
110,[68],[64],360,[0],1,['note_on']
111,[68],[64],360,[0],1,['note_on']
112,[68],[64],360,[0],1,['note_on']
113,[68],[64],360,[0],1,['note_on']
114,[68],[64],360,[0],1,['note_on']
115,[68],[64],360,[0],1,['note_on']
116,[68],[64],360,[0],1,['note_on']
117,[68],[64],360,[0],1,['note_on']
118,[68],[64],360,[0],1,['note_on']
119,[68],[64],360,[0],1,['note_on']
120,[68],[64],360,[0],1,['note_on']
121,[68],[64],360,[0],1,['note_on']
122,[68],[64],360,[0],1,['note_on']
123,[68],[64],360,[0],1,['note_on']
124,[68],[64],360,[0],1,['note_on']
125,[68],[64],360,[0],1,['note_on']
