Unnamed: 0,sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
257,0.535,257,60.0,['note_on'],[0],[80],[36],pp,0,1,0,0,0,0,1000000
404,0.841,404,60.0,['note_on'],[0],[61],[17],ppp,0,1,0,0,0,0,1000000
467,0.972,467,60.0,"['note_off', 'note_off']","[0, 0]","[61, 61]","[0, 0]",ppp,0,2,0,0,0,0,1000000
476,0.991,476,60.0,['note_on'],[0],[81],[53],p,0,1,0,0,0,0,1000000
485,1.01,485,60.0,['note_on'],[0],[66],[36],pp,0,1,0,0,0,0,1000000
520,1.083,520,60.0,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,0,0,1000000
667,1.389,667,60.0,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]",ppp,0,2,0,0,0,0,1000000
700,1.458,700,60.0,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
915,1.906,915,60.0,['note_on'],[0],[80],[58],p,0,1,0,0,0,0,1000000
939,1.956,939,60.0,['note_on'],[0],[50],[38],pp,0,1,0,0,0,0,1000000
942,1.962,942,60.0,"['note_on', 'note_on']","[0, 0]","[81, 81]","[59, 59]",p,0,2,0,0,0,0,1000000
1172,2.441,1172,60.0,['note_off'],[0],[80],[0],ppp,0,1,0,0,0,0,1000000
1183,2.464,1183,60.0,"['note_off', 'note_off']","[0, 0]","[50, 50]","[0, 0]",ppp,0,2,0,0,0,0,1000000
1191,2.481,1191,60.0,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
1194,2.487,1194,60.0,"['note_on', 'note_on']","[0, 0]","[76, 76]","[51, 51]",p,0,2,0,0,0,0,1000000
1434,2.987,1434,60.0,['note_on'],[0],[57],[31],ppp,0,1,0,0,0,0,1000000
1443,3.006,1443,60.0,['note_on'],[0],[62],[36],pp,0,1,0,0,0,0,1000000
1446,3.012,1446,60.0,"['note_off', 'note_off']","[0, 0]","[57, 57]","[0, 0]",ppp,0,2,0,0,0,0,1000000
1457,3.035,1457,60.0,['note_on'],[0],[81],[64],mp,0,1,0,0,0,0,1000000
1681,3.502,1681,60.0,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0,1000000
1685,3.51,1685,60.0,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3292,6.858,3292,60.0,"['note_off', 'note_off']","[0, 0]","[74, 74]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3300,6.875,3300,60.0,"['note_on', 'note_on']","[0, 0]","[69, 69]","[40, 40]",pp,0,2,0,0,0,0,1000000
3362,7.004,3362,60.0,"['note_off', 'note_off']","[0, 0]","[62, 62]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3388,7.058,3388,60.0,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3403,7.089,3403,60.0,['note_on'],[0],[81],[48],pp,0,1,0,0,0,0,1000000
3452,7.191,3452,60.0,['note_on'],[0],[54],[29],ppp,0,1,0,0,"[0, 0]",0,1000000
3555,7.406,3555,60.0,"['note_off', 'note_off']","[0, 0]","[54, 54]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3580,7.458,3580,60.0,['note_off'],[0],[81],[0],ppp,0,1,0,0,0,0,1000000
3589,7.477,3589,60.0,"['note_on', 'note_on']","[0, 0]","[80, 80]","[48, 48]",pp,0,2,0,0,0,0,1000000
3833,7.985,3833,60.0,"['note_off', 'note_off']","[0, 0]","[61, 61]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3839,7.997,3839,60.0,"['note_on', 'note_on']","[0, 0]","[66, 66]","[46, 46]",pp,0,2,0,0,0,0,1000000
3840,8.0,3840,60.0,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,0,0,1000000
