Unnamed: 0,sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
4,0.535,257,60,['note_on'],[0],[80],[36],pp,0,1,0,0,0,0,1000000
151,0.841,404,60,['note_on'],[0],[61],[17],ppp,0,1,0,0,0,0,1000000
214,0.972,467,60,"['note_off', 'note_off']","[0, 0]","[61, 61]","[0, 0]",ppp,0,2,0,0,0,0,1000000
223,0.991,476,60,['note_on'],[0],[81],[53],p,0,1,0,0,0,0,1000000
232,1.01,485,60,['note_on'],[0],[66],[36],pp,0,1,0,0,0,0,1000000
267,1.083,520,60,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,0,0,1000000
414,1.389,667,60,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]",ppp,0,2,0,0,0,0,1000000
447,1.458,700,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
662,1.906,915,60,['note_on'],[0],[80],[58],p,0,1,0,0,0,0,1000000
669,1.956,939,60,['note_on'],[0],[50],[38],pp,0,1,0,0,0,0,1000000
672,1.962,942,60,"['note_on', 'note_on']","[0, 0]","[81, 81]","[59, 59]",p,0,2,0,0,0,0,1000000
867,2.441,1172,60,['note_off'],[0],[80],[0],ppp,0,1,0,0,0,0,1000000
878,2.464,1183,60,"['note_off', 'note_off']","[0, 0]","[50, 50]","[0, 0]",ppp,0,2,0,0,0,0,1000000
886,2.481,1191,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
889,2.487,1194,60,"['note_on', 'note_on']","[0, 0]","[76, 76]","[51, 51]",p,0,2,0,0,0,0,1000000
1129,2.987,1434,60,['note_on'],[0],[57],[31],ppp,0,1,0,0,0,0,1000000
1138,3.006,1443,60,['note_on'],[0],[62],[36],pp,0,1,0,0,0,0,1000000
1141,3.012,1446,60,"['note_off', 'note_off']","[0, 0]","[57, 57]","[0, 0]",ppp,0,2,0,0,0,0,1000000
1152,3.035,1457,60,['note_on'],[0],[81],[64],mp,0,1,0,0,0,0,1000000
1376,3.502,1681,60,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0,1000000
1380,3.51,1685,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
2987,6.858,3292,60,"['note_off', 'note_off']","[0, 0]","[74, 74]","[0, 0]",ppp,0,2,0,0,0,0,1000000
2995,6.875,3300,60,"['note_on', 'note_on']","[0, 0]","[69, 69]","[40, 40]",pp,0,2,0,0,0,0,1000000
3057,7.004,3362,60,"['note_off', 'note_off']","[0, 0]","[62, 62]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3083,7.058,3388,60,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3098,7.089,3403,60,['note_on'],[0],[81],[48],pp,0,1,0,0,0,0,1000000
3122,7.191,3452,60,['note_on'],[0],[54],[29],ppp,0,1,0,0,"[0, 0]",0,1000000
3127,7.406,3555,60,"['note_off', 'note_off']","[0, 0]","[54, 54]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3152,7.458,3580,60,['note_off'],[0],[81],[0],ppp,0,1,0,0,0,0,1000000
3161,7.477,3589,60,"['note_on', 'note_on']","[0, 0]","[80, 80]","[48, 48]",pp,0,2,0,0,0,0,1000000
3405,7.985,3833,60,"['note_off', 'note_off']","[0, 0]","[61, 61]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3411,7.997,3839,60,"['note_on', 'note_on']","[0, 0]","[66, 66]","[46, 46]",pp,0,2,0,0,0,0,1000000
3412,8.0,3840,60,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3478,8.137,3906,60,"['note_on', 'note_on']","[0, 0]","[81, 81]","[57, 57]",p,0,2,0,0,0,0,1000000
3604,8.4,4032,60,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3625,8.443,4053,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3831,8.872,4259,60,"['note_on', 'note_on']","[0, 0]","[80, 80]","[53, 53]",p,0,2,0,0,0,0,1000000
3834,8.966,4304,60,"['note_on', 'note_on']","[0, 0]","[81, 81]","[46, 46]",pp,0,2,0,0,0,0,1000000
3837,8.981,4311,60,"['note_on', 'note_on']","[0, 0]","[50, 50]","[32, 32]",ppp,0,2,0,0,0,0,1000000
3862,9.497,4559,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
3866,9.506,4563,60,"['note_on', 'note_on']","[0, 0]","[76, 76]","[48, 48]",pp,0,2,0,0,0,0,1000000
3870,9.514,4567,60,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0,1000000
4088,9.968,4785,60,"['note_off', 'note_off']","[0, 0]","[50, 50]","[0, 0]",ppp,0,2,0,0,0,0,1000000
4097,9.987,4794,60,"['note_off', 'note_off']","[0, 0]","[57, 57]","[0, 0]",ppp,0,2,0,0,0,0,1000000
4101,9.995,4798,60,"['note_on', 'note_on']","[0, 0]","[62, 62]","[30, 30]",ppp,0,2,0,0,0,0,1000000
4115,10.025,4812,60,"['note_on', 'note_on']","[0, 0]","[81, 81]","[57, 57]",p,0,2,0,0,0,0,1000000
4311,10.433,5008,60,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0,1000000
4332,10.477,5029,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
5767,13.466,6464,60,['note_on'],[0],[74],[53],p,0,1,0,0,0,0,1000000
5825,13.587,6522,60,"['note_off', 'note_off']","[0, 0]","[74, 74]","[0, 0]",ppp,0,2,0,0,0,0,1000000
5847,13.633,6544,60,['note_on'],[0],[69],[30],ppp,0,1,0,0,0,0,1000000
5927,13.799,6624,60,"['note_off', 'note_off']","[0, 0]","[62, 62]","[0, 0]",ppp,0,2,0,0,0,0,1000000
5951,13.85,6648,60,"['note_on', 'note_on']","[0, 0]","[73, 73]","[46, 46]",pp,0,2,0,0,0,0,1000000
5982,13.914,6679,60,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,1000000
5986,14.002,6721,60,['note_off'],[0],[73],[0],ppp,0,1,0,0,0,0,1000000
5987,14.004,6722,60,['note_on'],[0],[81],[66],mp,0,1,0,0,0,0,1000000
5988,14.006,6723,60,"['note_on', 'note_on']","[0, 0]","[81, 54]","[66, 42]",p,0,2,0,0,0,0,1000000
5991,14.012,6726,60,['note_on'],[0],[54],[42],pp,0,1,0,0,0,0,1000000
5999,14.339,6883,60,"['note_off', 'note_off']","[0, 0]","[54, 54]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6035,14.414,6919,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6039,14.422,6923,60,"['note_on', 'note_on']","[0, 0]","[80, 80]","[58, 58]",p,0,2,0,0,0,0,1000000
6175,14.706,7059,60,"['note_off', 'note_off']","[0, 0]","[61, 61]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6221,14.802,7105,60,['note_on'],[0],[81],[62],mp,0,1,0,0,0,0,1000000
6326,15.02,7210,60,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6434,15.245,7318,60,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6438,15.254,7322,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6552,15.491,7436,60,['note_on'],[0],[69],[53],p,0,1,0,0,0,0,1000000
6590,15.57,7474,60,"['note_on', 'note_on']","[0, 0]","[80, 80]","[51, 51]",p,0,2,0,0,0,0,1000000
6674,15.745,7558,60,['note_off'],[0],[69],[0],ppp,0,1,0,0,0,0,1000000
6716,15.833,7600,60,['note_on'],[0],[81],[64],mp,0,1,0,0,0,0,1000000
6797,16.002,7681,60,"['note_off', 'note_off']","[0, 0]","[80, 80]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6801,16.033,7696,60,['note_on'],[0],[50],[44],pp,0,1,0,0,0,0,1000000
6824,16.264,7807,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6937,16.5,7920,60,['note_on'],[0],[69],[51],p,0,1,0,0,0,0,1000000
6938,16.502,7921,60,"['note_off', 'note_off']","[0, 0]","[50, 50]","[0, 0]",ppp,0,2,0,0,0,0,1000000
6943,16.512,7926,60,"['note_on', 'note_on']","[0, 0]","[57, 57]","[44, 44]",pp,0,2,0,0,0,0,1000000
6959,16.545,7942,60,['note_on'],[0],[76],[59],p,0,1,0,0,0,0,1000000
7067,16.77,8050,60,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7096,16.831,8079,60,['note_on'],[0],[81],[64],mp,0,1,0,0,0,0,1000000
7162,16.968,8145,60,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7182,17.01,8165,60,['note_on'],[0],[62],[42],pp,0,1,0,0,0,0,1000000
7262,17.177,8245,60,"['note_off', 'note_off']","[0, 0]","[57, 57]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7265,17.183,8248,60,"['note_off', 'note_off']","[0, 0]","[62, 62]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7291,17.237,8274,60,"['note_off', 'note_off']","[0, 0]","[81, 81]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7409,17.483,8392,60,"['note_on', 'note_on']","[0, 0]","[69, 69]","[51, 51]",p,0,2,0,0,0,0,1000000
7413,17.491,8396,60,['note_on'],[0],[74],[57],p,0,1,0,0,0,0,1000000
7516,17.706,8499,60,"['note_on', 'note_on']","[0, 0]","[69, 69]","[53, 53]",p,0,2,0,0,0,0,1000000
7664,18.014,8647,60,"['note_off', 'note_off']","[0, 0]","[74, 74]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7665,18.016,8648,60,['note_on'],[0],[73],[65],mp,0,1,0,0,0,0,1000000
7666,18.018,8649,60,"['note_on', 'note_on']","[0, 0]","[73, 45]","[65, 36]",p,0,2,0,0,0,0,1000000
7674,18.035,8657,60,['note_on'],[0],[45],[36],pp,0,1,0,0,0,0,1000000
7882,18.468,8865,60,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7889,18.483,8872,60,['note_on'],[0],[74],[59],p,0,1,0,0,0,0,1000000
7890,18.485,8873,60,"['note_off', 'note_off']","[0, 0]","[45, 45]","[0, 0]",ppp,0,2,0,0,0,0,1000000
7895,18.495,8878,60,['note_on'],[0],[52],[46],pp,0,1,0,0,0,0,1000000
8092,18.906,9075,60,"['note_off', 'note_off']","[0, 0]","[73, 73]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8121,18.966,9104,60,"['note_off', 'note_off']","[0, 0]","[52, 52]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8130,18.985,9113,60,['note_on'],[0],[57],[40],pp,0,1,0,0,0,0,1000000
8136,18.997,9119,60,"['note_off', 'note_off']","[0, 0]","[74, 74]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8202,19.135,9185,60,"['note_on', 'note_on']","[0, 0]","[76, 76]","[51, 51]",p,0,2,0,0,0,0,1000000
8360,19.464,9343,60,"['note_off', 'note_off']","[0, 0]","[57, 57]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8371,19.487,9354,60,"['note_off', 'note_off']","[0, 0]","[76, 76]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8562,19.885,9545,60,['note_on'],[0],[73],[65],mp,0,1,0,0,0,0,1000000
8566,19.977,9589,60,"['note_on', 'note_on']","[0, 0]","[52, 52]","[35, 35]",ppp,0,2,0,0,0,0,1000000
8573,20.016,9608,60,"['note_on', 'note_on']","[0, 0]","[71, 71]","[59, 59]",p,0,2,0,0,0,0,1000000
8584,20.056,9627,60,"['note_off', 'note_off']","[0, 0]","[73, 73]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8622,20.504,9842,60,"['note_off', 'note_off']","[0, 0]","[71, 71]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8638,20.537,9858,60,['note_on'],[0],[59],[51],p,0,1,0,0,0,0,1000000
8854,20.987,10074,60,"['note_off', 'note_off']","[0, 0]","[52, 52]","[0, 0]",ppp,0,2,0,0,0,0,1000000
8883,21.047,10103,60,['note_on'],[0],[64],[51],p,0,1,0,0,0,0,1000000
9067,21.431,10287,60,"['note_off', 'note_off']","[0, 0]","[59, 59]","[0, 0]",ppp,0,2,0,0,0,0,1000000
9104,21.508,10324,60,"['note_off', 'note_off']","[0, 0]","[64, 64]","[0, 0]",ppp,0,2,0,0,0,0,1000000
9229,21.768,10449,60,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,1000000
