Type,Notes,Velocities,Time
note_off,"[41, 53, 57, 60, 64]","[70, 70, 70, 70, 70]",0.3828125
note_off,[53],[101],0.0078125
note_off,[57],[94],0.0078125
note_off,[41],[103],0.003125
note_off,[60],[74],0.015625
note_on,[64],[89],0.33437500000000003
note_off,"[41, 53, 56, 59, 64]","[70, 70, 70, 70, 70]",0.1375
note_off,[64],[90],0.015625
note_off,[53],[107],0.00625
note_off,[41],[102],0.0078125
note_off,[59],[88],0.0125
note_on,[56],[76],0.5125000000000001
note_off,"[40, 52, 55, 59, 62]","[70, 70, 70, 70, 70]",0.2
note_off,[62],[71],0.0015625
note_off,[40],[100],0.021875000000000002
note_off,[59],[90],0.004687500000000001
note_off,[52],[86],0.025
note_on,[55],[90],0.4578125
note_off,"[45, 52, 55, 58, 61]","[70, 70, 70, 70, 70]",0.17343750000000002
note_off,"[52, 55]","[92, 96]",0.034375
note_off,[45],[97],0.018750000000000003
note_off,[58],[75],0.034375
note_on,[61],[69],0.38125000000000003
note_off,"[38, 53, 57, 60, 64]","[70, 70, 70, 70, 70]",0.184375
note_off,[53],[99],0.0078125
note_off,[64],[67],0.009375000000000001
note_off,[57],[93],0.004687500000000001
note_off,[60],[83],0.0125
note_on,[38],[98],0.48281250000000003
note_off,"[43, 53, 56, 59, 64]","[70, 70, 70, 70, 70]",0.15156250000000002
note_off,"[43, 53]","[100, 92]",0.0171875
note_off,[59],[97],0.0078125
note_off,[56],[83],0.0125
note_on,[64],[62],0.5328125
note_off,"[36, 55, 59, 62, 64]","[70, 70, 70, 70, 70]",0.1796875
note_off,[59],[86],0.003125
note_off,[36],[67],0.015625
note_off,[64],[92],0.004687500000000001
note_off,[62],[92],0.004687500000000001
note_on,[55],[75],0.5640625
note_on,"[45, 55, 58, 61, 65]","[70, 70, 70, 70, 70]",0.7312500000000001
note_off,[64],[70],0.0125
note_off,[65],[110],0.2484375
note_off,[64],[103],0.053125000000000006
note_off,[55],[101],0.028125
note_off,[58],[70],0.0078125
note_off,[61],[59],0.004687500000000001
note_on,[45],[80],0.28750000000000003
note_off,"[41, 53, 57, 60, 64]","[70, 70, 70, 70, 70]",0.1640625
note_off,[64],[81],0.0140625
note_off,[57],[85],0.003125
note_off,[41],[88],0.004687500000000001
note_off,[53],[79],0.029687500000000002
note_on,[60],[83],0.50625
note_off,"[41, 53, 56, 59, 64]","[70, 70, 70, 70, 70]",0.16718750000000002
note_off,[64],[83],0.021875000000000002
note_off,[53],[105],0.0234375
note_off,[59],[85],0.0234375
note_off,[41],[96],0.003125
note_on,[56],[85],0.0015625
note_off,"[40, 52, 55, 59, 62]","[70, 70, 70, 70, 70]",0.096875
note_off,[52],[100],0.009375000000000001
note_off,[55],[97],0.021875000000000002
note_off,[40],[101],0.0140625
note_off,[59],[91],0.0203125
note_on,[62],[90],0.49843750000000003
note_off,"[45, 52, 55, 58, 61]","[70, 70, 70, 70, 70]",0.27187500000000003
note_off,[55],[99],0.0078125
note_off,[52],[103],0.0484375
note_off,[58],[72],0.0421875
note_off,[61],[73],0.026562500000000003
note_on,[45],[103],0.47500000000000003
note_off,"[38, 53, 57, 60, 64]","[70, 70, 70, 70, 70]",0.19375
note_off,[53],[96],0.0140625
note_off,[57],[94],0.010937500000000001
note_off,[60],[82],0.009375000000000001
note_off,[64],[66],0.0078125
note_on,[38],[97],0.484375
note_off,"[43, 53, 56, 59, 64]","[70, 70, 70, 70, 70]",0.2390625
note_off,[64],[75],0.03125
note_off,[53],[96],0.0140625
note_off,[59],[97],0.009375000000000001
note_off,[56],[85],0.0546875
note_on,[43],[76],0.47187500000000004
note_off,"[36, 55, 59, 62, 64]","[70, 70, 70, 70, 70]",2.2859375
note_off,[55],[107],0.00625
note_off,"[36, 59]","[108, 96]",0.0078125
note_off,[62],[96],0.026562500000000003
,[64],[107],
