Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
0,0,[],1,[],[],,64.0
0.46875,0.46875,['note_on'],1,[60],[64],,64.0
0.9375,0,"['note_off', 'note_on']",1,"[60, 62]","[62, 64]",,64.0
1.40625,0,"['note_off', 'note_on']",1,"[62, 64]","[36, 64]",,64.0
1.875,0,"['note_off', 'note_on']",1,"[64, 65]","[34, 64]",,64.0
2.578125,0,"['note_off', 'note_on']",1,"[65, 67]","[62, 64]",,64.0
2.6953125,0.1171875,['note_off'],1,[67],[64],,64.0
2.703125,0.0078125,['note_on'],1,[65],[64],,64.0
2.8125,0.109375,['note_on'],1,[64],[64],,64.0
2.8203125,0.0078125,['note_off'],1,[65],[64],,64.0
3.28125,0,"['note_off', 'note_on']",1,"[64, 69]","[38, 64]",,64.0
3.75,0,"['note_off', 'note_on']",1,"[69, 62]","[55, 64]",,64.0
4.21875,0,"['note_off', 'note_on']",1,"[62, 67]","[46, 64]",,64.0
4.87109375,0.65234375,['note_off'],1,[67],[49],,64.0
4.921875,0.05078125,['note_on'],1,[69],[64],,64.0
5.15625,0,"['note_off', 'note_on']",1,"[69, 67]","[63, 64]",,64.0
5.390625,0,"['note_off', 'note_on']",1,"[67, 65]","[52, 64]",,64.0
5.625,0,"['note_off', 'note_on']",1,"[65, 64]","[59, 64]",,64.0
5.859375,0,"['note_off', 'note_on']",0,"[64, 65]","[44, 64]",,64.0
6.09375,0,"['note_on', 'note_off', 'note_on']",1,"[67, 65, 64]","[64, 63, 64]",,64.0
6.328125,0,"['note_off', 'note_on']",0,"[64, 62]","[50, 64]",,64.0
6.5625,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[67, 69, 62, 60]","[57, 64, 59, 64]",,64.0
6.796875,0,"['note_off', 'note_on']",0,"[60, 62]","[51, 64]",,64.0
7.03125,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[69, 71, 62, 60]","[59, 64, 49, 64]",,64.0
7.265625,0,"['note_off', 'note_on']",0,"[60, 59]","[55, 64]",,64.0
7.5,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[71, 72, 59, 57]","[58, 64, 59, 64]",,64.0
7.96875,0,"['note_off', 'note_on']",0,"[57, 66]","[42, 64]",,64.0
8.203125,0,"['note_off', 'note_on']",0,"[72, 74]","[68, 64]",,64.0
8.3203125,0.1171875,['note_off'],0,[74],[64],,64.0
8.328125,0.0078125,['note_on'],0,[72],[64],,64.0
8.4375,0,"['note_on', 'note_off', 'note_on']",0,"[71, 66, 67]","[64, 40, 64]",,64.0
8.4453125,0.0078125,['note_off'],0,[72],[64],,64.0
8.90625,0,"['note_off', 'note_on']",0,"[71, 76]","[53, 64]",,64.0
9.375,0,"['note_off', 'note_on']",1,"[76, 69]","[42, 64]",,64.0
9.69921875,0.32421875,['note_off'],0,[67],[44],,64.0
9.84375,0,"['note_off', 'note_on', 'note_on']",1,"[69, 74, 65]","[59, 64, 64]",,64.0
10.078125,0,"['note_off', 'note_on']",1,"[65, 64]","[44, 64]",,64.0
10.3125,0,"['note_off', 'note_on']",0,"[64, 65]","[45, 64]",,64.0
10.5078125,0.1953125,['note_off'],0,[74],[69],,64.0
10.55859375,0.05078125,['note_on'],1,[76],[64],,64.0
10.78125,0,"['note_off', 'note_on']",0,"[65, 62]","[52, 64]",,64.0
10.79296875,0,"['note_off', 'note_on']",0,"[76, 74]","[44, 64]",,64.0
11.02734375,0,"['note_off', 'note_on']",1,"[74, 72]","[45, 64]",,64.0
11.25,0,"['note_off', 'note_on']",0,"[62, 67]","[44, 64]",,64.0
11.26171875,0,"['note_off', 'note_on']",0,"[72, 71]","[74, 64]",,64.0
11.49609375,0,"['note_off', 'note_on']",1,"[71, 67]","[73, 64]",,64.0
11.71875,0,"['note_off', 'note_on', 'note_on']",0,"[67, 65, 55]","[49, 64, 64]",,64.0
11.73046875,0,"['note_off', 'note_on']",0,"[67, 69]","[49, 64]",,64.0
