Sec,Ticks,msg_type,Channel,Notes,Velocities,Note_Lengths,Tempo,mean_velocity,diff_velocity
2.7484375,0.7484375000000001,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0.0,"[41, 53, 57, 60, 64]","[70, 70, 70, 70, 70]",0.0,80.0,70.0,70.0
3.13125,0.3828125,['note_off'],0.0,[53],[101],0.3828125,80.0,31.0,101.0
3.1390625,0.0078125,['note_off'],0.0,[57],[94],0.0078125,80.0,-7.0,94.0
3.146875,0.0078125,['note_off'],0.0,[41],[103],0.0078125,80.0,9.0,103.0
3.15,0.003125,['note_off'],0.0,[60],[74],0.003125,80.0,-29.0,74.0
3.165625,0.015625,['note_off'],0.0,[64],[89],0.015625,80.0,15.0,89.0
4.307812500000001,0.7093750000000001,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0.0,"[41, 53, 56, 59, 64]","[70, 70, 70, 70, 70]",0.334375,80.0,-19.0,70.0
4.445312500000001,0.1375,['note_off'],0.0,[64],[90],0.1375,80.0,20.0,90.0
4.460937500000001,0.015625,['note_off'],0.0,[53],[107],0.015625,80.0,17.0,107.0
4.4671875000000005,0.00625,['note_off'],0.0,[41],[102],0.00625,80.0,-5.0,102.0
4.4750000000000005,0.0078125,['note_off'],0.0,[59],[88],0.0078125,80.0,-14.0,88.0
4.487500000000001,0.0125,['note_off'],0.0,[56],[76],0.0125,80.0,-12.0,76.0
5.789062500000001,0.75,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0.0,"[40, 52, 55, 59, 62]","[70, 70, 70, 70, 70]",0.5125000000000001,80.0,-6.0,70.0
5.989062500000001,0.2,['note_off'],0.0,[62],[71],0.2,80.0,1.0,71.0
5.990625000000001,0.0015625,['note_off'],0.0,[40],[100],0.0015625,80.0,29.0,100.0
6.012500000000001,0.021875,['note_off'],0.0,[59],[90],0.021875,80.0,-10.0,90.0
6.017187500000001,0.0046875,['note_off'],0.0,[52],[86],0.0046875,80.0,-4.0,86.0
6.042187500000002,0.025,['note_off'],0.0,[55],[90],0.025,80.0,4.0,90.0
7.357812500000001,0.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0.0,"[45, 52, 55, 58, 61]","[70, 70, 70, 70, 70]",0.4578125,80.0,-20.0,70.0
7.531250000000002,0.0,"['note_off', 'note_off']",0.0,"[52, 55]","[92, 96]",0.1734375,80.0,24.0,94.0
7.565625000000002,0.034375,['note_off'],0.0,[45],[97],0.034375,80.0,3.0,97.0
7.584375000000001,0.01875,['note_off'],0.0,[58],[75],0.01875,80.0,-22.0,75.0
7.618750000000001,0.034375,['note_off'],0.0,[61],[69],0.034375,80.0,-6.0,69.0
