sec,ticks,msg_type,channel,note,velocity,note_lengths,tempo,mean_velocity,diff_velocity,dynamic,accent
2.8125,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[53, 53]",2.8125,60.0,53.0,53.0,p,0
3.1395833333333334,0.3270833333333333,['note_on'],0.0,[76],[75],0.3270833333333333,60.0,22.0,75.0,mf,0
3.1416666666666666,0.0020833333333333,['note_on'],0.0,[76],[75],0.0020833333333333,60.0,0.0,75.0,mf,0
3.1729166666666666,0.03125,['note_on'],0.0,[72],[0],0.03125,60.0,-75.0,0.0,ppp,0
3.175,0.0020833333333333,['note_on'],0.0,[72],[0],0.0020833333333333,60.0,0.0,0.0,ppp,0
3.3229166666666665,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[81, 81]",0.1479166666666666,60.0,81.0,81.0,mf,1
3.3583333333333334,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0354166666666666,60.0,-81.0,0.0,ppp,0
3.785416666666667,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[66, 66]",0.4270833333333333,60.0,66.0,66.0,mp,0
3.8145833333333337,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.0291666666666666,60.0,-66.0,0.0,ppp,0
4.125,0.3104166666666667,['note_on'],0.0,[76],[59],0.3104166666666667,60.0,59.0,59.0,p,0
4.127083333333333,0.0020833333333333,['note_on'],0.0,[76],[59],0.0020833333333333,60.0,0.0,59.0,p,0
4.160416666666666,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[0, 0]",0.0333333333333333,60.0,-59.0,0.0,ppp,0
4.291666666666666,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[79, 79]",0.13125,60.0,79.0,79.0,mf,1
4.352083333333333,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0604166666666666,60.0,-79.0,0.0,ppp,0
4.766666666666666,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.4145833333333333,60.0,0.0,0.0,ppp,0
4.783333333333332,0.0166666666666666,['note_on'],0.0,[69],[73],0.0166666666666666,60.0,73.0,73.0,mp,0
4.7854166666666655,0.0020833333333333,['note_on'],0.0,[69],[73],0.0020833333333333,60.0,0.0,73.0,mp,0
5.143749999999999,0.3583333333333333,['note_on'],0.0,[76],[62],0.3583333333333333,60.0,-11.0,62.0,mp,0
5.145833333333332,0.0020833333333333,['note_on'],0.0,[76],[62],0.0020833333333333,60.0,0.0,62.0,mp,0
5.158333333333332,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.0125,60.0,-62.0,0.0,ppp,0
5.291666666666666,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[70, 70]",0.1333333333333333,60.0,70.0,70.0,mp,0
5.36875,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0770833333333333,60.0,-70.0,0.0,ppp,0
5.597916666666666,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.2291666666666666,60.0,0.0,0.0,ppp,0
5.635416666666666,0.0375,['note_on'],0.0,[67],[81],0.0375,60.0,81.0,81.0,mf,1
5.637499999999999,0.0020833333333333,['note_on'],0.0,[67],[81],0.0020833333333333,60.0,0.0,81.0,mf,0
