Sec,Ticks,msg_type,Channel,Notes,Velocities,Note_Lengths,Tempo,mean_velocity,diff_velocity
2.7916666666666665,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[59, 59]",2.7916666666666665,60.0,59.0,59.0
3.11875,0.3270833333333333,['note_on'],0.0,[76],[68],0.3270833333333333,60.0,9.0,68.0
3.120833333333333,0.0020833333333333,['note_on'],0.0,[76],[68],0.0020833333333333,60.0,0.0,68.0
3.16875,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[0, 0]",0.0479166666666666,60.0,-68.0,0.0
3.31875,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[77, 77]",0.15,60.0,77.0,77.0
3.360416666666666,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0416666666666666,60.0,-77.0,0.0
3.797916666666666,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[73, 73]",0.4375,60.0,73.0,73.0
3.8145833333333328,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.0166666666666666,60.0,-73.0,0.0
4.116666666666666,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[62, 62]",0.3020833333333333,60.0,62.0,62.0
4.14375,0.0270833333333333,['note_on'],0.0,[71],[0],0.0270833333333333,60.0,-62.0,0.0
4.145833333333333,0.0020833333333333,['note_on'],0.0,[71],[0],0.0020833333333333,60.0,0.0,0.0
4.308333333333333,0.1625,['note_on'],0.0,[79],[84],0.1625,60.0,84.0,84.0
4.310416666666666,0.0020833333333333,['note_on'],0.0,[79],[84],0.0020833333333333,60.0,0.0,84.0
4.345833333333332,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0354166666666666,60.0,-84.0,0.0
4.762499999999999,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.4166666666666667,60.0,0.0,0.0
4.7958333333333325,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[95, 95]",0.0333333333333333,60.0,95.0,95.0
5.862499999999999,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",1.0666666666666669,60.0,-95.0,0.0
6.145833333333332,0.2833333333333333,['note_on'],0.0,[67],[79],0.2833333333333333,60.0,79.0,79.0
