Unnamed: 0,sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
1909,1.988,1909,120.0,['note_on'],[0],[60],[38],pp,0,1,0,0,0,0,500000
1921,2.001,1921,120.0,['note_on'],[0],[62],[53],p,0,1,0,0,0,0,500000
2259,2.353,2259,120.0,"['note_off', 'note_off']","[0, 0]","[60, 60]","[0, 0]",ppp,0,2,0,0,0,0,500000
2298,2.393,2298,120.0,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0,500000
2607,2.715,2607,120.0,"['note_off', 'note_off']","[0, 0]","[62, 62]","[0, 0]",ppp,0,2,0,0,0,0,500000
2674,2.785,2674,120.0,['note_on'],[0],[65],[55],p,0,1,0,0,0,0,500000
2917,3.038,2917,120.0,['note_off'],[0],[64],[0],ppp,0,1,0,0,0,0,500000
2919,3.04,2919,120.0,"['note_off', 'note_off']","[0, 0]","[65, 65]","[0, 0]",ppp,0,2,0,0,0,0,500000
3253,3.388,3253,120.0,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0,500000
3260,3.395,3260,120.0,['note_on'],[0],[69],[55],p,0,1,0,0,0,0,500000
3579,3.728,3579,120.0,['note_off'],[0],[67],[0],ppp,0,1,0,0,0,0,500000
3628,3.779,3628,120.0,['note_on'],[0],[71],[53],p,0,1,0,0,0,0,500000
3916,4.079,3916,120.0,"['note_off', 'note_off']","[0, 0]","[69, 69]","[0, 0]",ppp,0,2,0,0,0,0,500000
3920,4.083,3920,120.0,['note_on'],[0],[72],[59],p,0,1,0,0,0,0,500000
4727,4.923,4727,120.0,['note_off'],[0],[71],[0],ppp,0,1,0,0,0,0,500000
6250,6.51,6250,120.0,['note_off'],[0],[72],[0],ppp,0,1,0,0,0,0,500000
6876,7.162,6876,120.0,['note_on'],[0],[57],[5],ppp,0,1,0,0,0,0,500000
6930,7.218,6930,120.0,['note_on'],[0],[61],[21],ppp,0,1,0,0,0,0,500000
6935,7.223,6935,120.0,['note_on'],[0],[69],[36],pp,0,1,0,0,0,0,500000
