Sec,Ticks,msg_type,Channel,Notes,Velocities,Note_Lengths,Tempo,mean_velocity,diff_velocity,Dynamic,accent
2.7604166666666665,2.7604166666666665,['note_on'],1.0,[72],[79],2.7604166666666665,60.0,79.0,79.0,mf,1
2.7625,0.0020833333333333,['note_on'],0.0,[72],[79],0.0020833333333333,60.0,0.0,79.0,mf,0
3.095833333333333,0.3333333333333333,['note_on'],1.0,[76],[59],0.3333333333333333,60.0,-20.0,59.0,p,0
3.0979166666666664,0.0020833333333333,['note_on'],0.0,[76],[59],0.0020833333333333,60.0,0.0,59.0,p,0
3.120833333333333,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[0, 0]",0.0229166666666666,60.0,-59.0,0.0,ppp,0
3.28125,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[79, 79]",0.1604166666666666,60.0,79.0,79.0,mf,1
3.3291666666666666,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0479166666666666,60.0,-79.0,0.0,ppp,0
3.7875,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[75, 75]",0.4583333333333333,60.0,75.0,75.0,mf,0
3.816666666666667,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.0291666666666666,60.0,-75.0,0.0,ppp,0
4.133333333333334,0.3166666666666666,['note_on'],1.0,[76],[66],0.3166666666666666,60.0,66.0,66.0,mp,0
4.135416666666667,0.0020833333333333,['note_on'],0.0,[76],[66],0.0020833333333333,60.0,0.0,66.0,mp,0
4.141666666666667,0.00625,['note_on'],1.0,[71],[0],0.00625,60.0,-66.0,0.0,ppp,0
4.14375,0.0020833333333333,['note_on'],0.0,[71],[0],0.0020833333333333,60.0,0.0,0.0,ppp,0
4.3,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[79, 79]",0.15625,60.0,79.0,79.0,mf,1
4.34375,0.04375,['note_on'],1.0,[76],[0],0.04375,60.0,-79.0,0.0,ppp,0
4.345833333333333,0.0020833333333333,['note_on'],0.0,[76],[0],0.0020833333333333,60.0,0.0,0.0,ppp,0
4.791666666666666,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.4458333333333333,60.0,0.0,0.0,ppp,0
4.8,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[77, 77]",0.0083333333333333,60.0,77.0,77.0,mf,1
5.147916666666666,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[70, 70]",0.3479166666666666,60.0,-7.0,70.0,mp,0
5.164583333333333,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.0166666666666666,60.0,-70.0,0.0,ppp,0
